model,config,num_speakers,num_instances,avg_density
high,5s_20i,5,20,0.2948630332946777
low,5s_20i,5,20,0.42679086584793896
mid,5s_20i,5,20,0.3973946179841695
mfcc,5s_80i,5,80,0.44285497351537784
high,5s_80i,5,80,0.36176374701005
low,5s_80i,5,80,0.45761997464336923
mid,5s_80i,5,80,0.44227593916880936
mfcc,2s_60i,2,60,0.47198465638241527
high,2s_60i,2,60,0.25229312013098076
low,2s_60i,2,60,0.4916858737751589
mid,2s_60i,2,60,0.45057493737861937
mfcc,20s_40i,20,40,0.454692016014686
high,20s_40i,20,40,0.2159705294095553
low,20s_40i,20,40,0.5145344281807924
mid,20s_40i,20,40,0.43397736965081635
mfcc,80s_10i,80,10,0.4055331224865384
high,80s_10i,80,10,0.24329283028841017
low,80s_10i,80,10,0.44916589485274416
mid,80s_10i,80,10,0.4282252838876513
mfcc,2s_80i,2,80,0.46130772844145573
high,2s_80i,2,80,0.28528633841985385
low,2s_80i,2,80,0.4906582602971717
mid,2s_80i,2,80,0.4548473889314676
mfcc,2s_20i,2,20,0.46571190482691716
high,2s_20i,2,20,0.17367033958435057
low,2s_20i,2,20,0.5027089972245066
mid,2s_20i,2,20,0.4561237937525699
mfcc,40s_40i,40,40,0.44514249214759244
high,40s_40i,40,40,0.23706517494641818
low,40s_40i,40,40,0.48792061720138935
mid,40s_40i,40,40,0.4342801817869528
mfcc,60s_5i,60,5,0.3949642336368561
high,60s_5i,60,5,0.252934571976463
low,60s_5i,60,5,0.4635190432270368
mid,60s_5i,60,5,0.4442689913511277
mfcc,10s_1i,10,1,
high,10s_1i,10,1,
low,10s_1i,10,1,
mid,10s_1i,10,1,
mfcc,5s_10i,5,10,0.3490659417046441
high,5s_10i,5,10,0.27784009085761174
low,5s_10i,5,10,0.4346598349677192
mid,5s_10i,5,10,0.37307187398274744
mfcc,60s_40i,60,40,0.4343863063388401
high,60s_40i,60,40,0.2606498540976109
low,60s_40i,60,40,0.4871483746553079
mid,60s_40i,60,40,0.42962474007891793
